cz;kmen;rod;devanagari
dobrý, kvalitní, blahodárný, příznivý, šťastný, ušlechtilý, čestný, krásný, milý;bhadra-;;भद्र
všechen, celý, univerzální;viśva-;;विश्व
vytoužený, milovaný, oblíbený, uctívaný, chtěný, žádoucí;iṣta-;;इष्ट
nejlepší, nejvyšší, vynikající, poslední;uttama-;;उत्तम
jedna, jeden, jediný, jednotný, první;éka-;;एक
chudý;daridra-;;दरिद्र
rychlý;śíghra-;;शीघ्र
probuzený, vědomý;buddha-;m;बुद्ध
vznešený, urozený, ušlechtilý, ctihodný;árja-;;आर्य
hrubý, neslušný;anárja-;;अनार्य
spokojený;saṃtuṣṭa-;;संतुष्ट
krásný;sundara-;;सुन्दर
mazaný, chytrý;čatura-;;चतुर
starý;vṛddha-;;वृद्ध
milý;prija-;;प्रिय
oblíbený;lókaprija-;;लोकप्रिय
opuštěný;tjakta-;;त्यक्त
daleký;dúra-;;दूर
hloupý;múrkha-;;मूर्ख
bílý;śvéta-;;श्वेत
všechen;sarva-;;सर्व
jiný;anja-;;अन्य
věčný;nitja-;;नित्य
dlouhý;dírgha-;;दीर्घ
krátký;hrasva-;;ह्रस्व
přísný;tívra-;;तीव्र
tajný, záhadný;rahasja-;;रहस्य
dlouhý, dlouhodobý;čira-;;चिर
studený;śíta-;;शीत
užaslý, překvapený, zázračný;vismaja-;;विस्मय
nový;navína-;;नवीन
šťastný;sukhita-;;सुखित
nekonečný;ananta-;;अनन्त
velký, větší;atika-;;अधिक
nejvyšší;para-;;पर